fecha,ingreso,egreso,saldo
4/18/2020,697948.8,0,697948.8
4/19/2020,26652.4,0,724601.2
4/20/2020,0,0,724601.2
4/21/2020,14503.34,0,739104.54
4/22/2020,0,0,739104.54
4/23/2020,0,0,739104.54
4/24/2020,0,564664.64,174439.9
4/25/2020,326496.27,0,500936.17
4/26/2020,0,0,500936.17
4/27/2020,0,0,500936.17
4/28/2020,0,0,500936.17
4/29/2020,0,0,500936.17
4/30/2020,0,764492.02,-263555.85
05/01/2020,0,0,-263555.85
05/02/2020,1542656,0,1279100.15
05/03/2020,0,0,1279100.15
05/04/2020,0,0,1279100.15
05/05/2020,0,0,1279100.15
05/06/2020,0,0,1279100.15
05/07/2020,0,0,1279100.15
05/08/2020,4091142.94,3070340.875,2299902.215
05/09/2020,0,0,2299902.215
05/10/2020,0,0,2299902.215
05/11/2020,0,0,2299902.215
05/12/2020,0,0,2299902.215
5/13/2020,0,0,2299902.215
5/14/2020,0,0,2299902.215
5/15/2020,1680193.7,2232511.91,1747584.005
5/16/2020,0,0,1747584.005
5/17/2020,0,0,1747584.005
5/18/2020,0,0,1747584.005
5/19/2020,0,0,1747584.005
5/20/2020,0,0,1747584.005
5/21/2020,0,0,1747584.005
5/22/2020,510980.88,1440471.44,818093.445
5/23/2020,3239118.98,0,4057212.425
5/24/2020,0,0,4057212.425
5/25/2020,50463.84,0,4107676.265
5/26/2020,0,0,4107676.265
5/27/2020,0,0,4107676.265
5/28/2020,0,0,4107676.265
5/29/2020,1742791.42,2049178.965,3801288.72
5/30/2020,0,0,3801288.72
5/31/2020,0,0,3801288.72
06/01/2020,0,0,3801288.72
06/02/2020,0,0,3801288.72
06/03/2020,0,0,3801288.72
06/04/2020,0,0,3801288.72
06/05/2020,481454.4,691597.73,3591145.39
06/06/2020,0,0,3591145.39
06/07/2020,0,0,3591145.39
06/08/2020,0,0,3591145.39
06/09/2020,0,0,3591145.39
06/10/2020,0,0,3591145.39
06/11/2020,0,0,3591145.39
06/12/2020,5334859.43,1342875.73,7583129.09
